ma_khach_hang,noi_dung_binh_luan,ngay_binh_luan,gio_binh_luan,so_sao,ma_san_pham,content_new,sentiment
1027,"Sử dụng dễ dàng , rất thoải mái , thư giãn tột độ.",1/5/2023,14:48,5,308500004,dễ_dàng thoải_mái,0
1021,"Sản phẩm phù hợp với da dầu nhưng mình da khô dùng vẫn okela lắm, rửa xong da vẫn ẩm nhẹ chứ không khô rít tí nào.",9/11/2020,15:35,5,422206537,khô lắm rửa ẩm_nhẹ,0
312,Sản phẩm sử dụng rất tốt nhaa đây là chai thứ n mình sử dụng rồi bảng thành an toàn mà còn làm sạch sâu nữa mình rất thích nước tẩy trang này,25/11/2020,18:06,5,422211446,tốt bảng thành toàn sạch sâu thích nước_tẩy,0
2321,"Sử dụng dễ dàng , rất thoải mái , thư giãn tột độ",4/5/2023,13:43,5,308500004,dễ_dàng thoải_mái,0
1572,Srm này lành tính sạch,25/10/2021,15:32,5,422214146,sạch,0
220,Da dầu thì OK còn da khô thì k OK chút nào rửa xong mặt k đến nỗi nào quá cứng,9/3/2022,0:46,3,422203510,khô không_đồng_ý rửa cứng,1
400,"Dùng ổn định, không có gì để chê nhưng cũng không khen.",27/02/2023,20:29,3,308500018,chê không,1
2452,"Mình dùng mới 1 lần mà cực kỳ hài lòng. Đắp 1 miếng ngày hôm sau da đỡ sưng đỏ, đỡ tiết dầu và căng bóng, sáng mịn hơn. Sẽ mua thêm nhiều lần nữa.",7/4/2020,8:59,5,422202253,cực_kỳ đắp đỡ sưng đỏ đỡ tiết_dầu căng mịn,0
3979,"Chân ái của đời mình đây ạ. Sài 8 9 năm gì rồi, chỉ mỗi em này và mỗi em này thôi",6/12/2021,10:07,5,213300003,,0
683,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",30/04/2023,9:46,5,308500037,dễ_dàng thoải_mái,0
3974,Chân ái cuộc đời. Đã dùng đến chai thứ en nờ. Chưa em srm nào qua loại này. Rất đáng đồng tiền,4/5/2022,23:59,5,331300002,srm đồng_tiền,0
186,Tẩy trang sạch lắm ạ Sau khi tẩy xong thấy mặt ẩm ẩm rất thích :)),26/08/2022,11:48,5,422211446,sạch lắm ạ_tẩy thích,0
1216,Giao hàng chậm và chất lượng sản phẩm không đạt yêu cầu.,24/11/2022,12:19,2,204100078,chậm chất_lượng sản_phẩm,1
1410,"trước giờ dùng nhiều loại SRM nhưng mình thấy SVR khá tốt. Sau khi rửa xong thì mặt không còn bóng dầu, không bị dính hay quá khô, 1 chút ẩm mịn, da rất thoáng và nhẹ tênh. Mình apply serum hay kem đều thấm nhanh mà không hề có cảm giác nặng, bí.",21/07/2023,21:24,5,422200632,tốt rửa dính khô khô thoáng nhẹ apply khô thấm_chóng không_hề bí,0
2040,Mua mấy lần ở shop r nhưng lần này kcn nghe mùi cồn nồng lắm,20/10/2022,10:55,2,422207413,kcn_nghệ nồng lắm,1
2376,"Sử dụng dễ dàng, rất thoải mái, thư giãn tột độ",29/04/2023,16:21,5,308500013,dễ_dàng thoải_mái,0
1144,"Không biết dùng tới chai thứ mấy rồi. Loại SRM này rất dịu nhẹ không gây kích ứng da, rất phù hợp với da nhạy cảm và dầu mụn như mình, 1 ngày mình rửa 3-4 lần luôn mà không bị khô hay kích ứng gì. Vừa rồi đổi loại SRM hãng khác thì da lại nổi mụn viêm đỏ khá nhiều. Giờ phải quay lại với Cetaphil",7/8/2023,14:20,5,422207423,dịu nhẹ không_gây mụn rửa không_bị khô khô đổi nổi mụn đỏ,0
2055,"rất khô thoáng luôn, thấm siêu nhanh, kiềm dầu tốt, finish siêu đẹp luôn nhá",9/6/2022,13:02,5,422207413,khô_thoáng thấm_siêu tốt siêu_đẹp,0
351,Giá cả OK. Chất lượng thì khá tốt. Cho 5* em này .,24/09/2019,23:44,5,422203809,tốt,0
293,ok,11/4/2021,14:05,5,422208807,,0
231,"Giao hàng nhanh, sử dụng ok",16/12/2021,22:06,5,422208807,,0
2337,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ",2/5/2023,11:46,5,308500013,dễ_dàng thoải_mái,0
2938,Đã mua hàng. Shop giao rất nhanh. Mặt nạ dùng rất ưng ý. Mình đã thử mua nhiều loại và mỗi loại đều có công dụng riêng,24/04/2024,15:26,5,365000013,ưng_ý thử,0
376,"Mình da dầu nhưng xài loại cho da dầu thì vẫn kh hợp, như xài mấy srm khác. Nhưng xài loại màu xanh lá cho da khô thì siêu hợp, rửa xong mặt sạch mà vẫn giữ dc độ ẩm trên mặt. Siêu thích luôn",20/08/2024,8:30,5,422208973,xài không_hợp xài xài khô siêu_hợp rửa sạch độ_ẩm,0
2544,"Chất gel lỏng khi rửa mặt hơi mát mát thích lắm, rửa sạch mà không bị châm chích. Mình hay mua online thấy khá tiện, đóng gọi cẩn thận và ship nhanh.",13/11/2020,22:03,5,204100054,lỏng rửa hơi mát mát_thích lắm rửa sạch không_bị châm chích khô trực_tuyến tiện đóng cẩn_thận,0
1052,"Dùng tẩy trang hằng ngày ok nè.m dùng dc vài lần muốn pass lại,b nào cần nhắn zl 0916156865 ( Đồng Vi ).",12/8/2024,6:36,5,422204910,hằng nhắn,0
1379,Sản phẩm nồng nặc mùi hương liệu luôn. thoa lên mặt rát dã man. 2 vợ chồng mình xài cả 2 đều rất rất rát luôn. tệ,5/12/2022,17:43,1,422200305,nồng_nặc xài rát,1
170,"Miếng dán thực sự hiệu quả cho mụn vỡ, sau khi mình dùng tay nặn hết dịch mủ. Mình dùng nước muối sinh lý lau lại vùng mụn mới nặn. Và dán miếng dán qua đêm. Sáng mai gỡ miếng dán, dịch mủ đã được hút sạch. Và nốt mụn xẹp hẳn",19/09/2022,7:53,5,345800027,dán hiệu_quả vỡ muối_lý nặn dán dán gỡ dán hút sạch nốt xẹp hẳn,0
2590,hàng silcot khỏi chê,24/02/2021,20:34,5,207500001,silcot chê,0
1659,ok,10/7/2022,0:53,5,318900019,,0
2458,"Cấp ẩm tốt,đắp siêu thích ^^",8/2/2020,16:09,5,422205160,tốt đắp,0
4310,"Cái này mình mua bịch nhỏ dùng oke nên mua hủ to, xài thấy se nhỏ lcl hẳn",16/05/2022,3:45,5,355500011,bịch hủ xài lcl hẳn,0
4016,"Dùng ổn, giá hssv. Phù hợp với làn da không make up nhiều",20/08/2022,1:13,5,100190183,ổn,0
2332,"Sử dụng dễ dàng, rất thoải mái, thư giãn tột độ",2/5/2023,19:22,5,308500015,dễ_dàng thoải_mái,0
3609,ổn áp,22/05/2021,16:45,5,225200013,ổn áp,0
272,Dùng thích lắm nha mn. Chai nhỏ dễ thương ghê,30/06/2021,9:01,5,422208807,thích lắm dễ_thương,0
1478,"srm lm sạch tốt kiềm dầu tốt, nhưng hơi khô da tý",13/08/2021,20:06,5,204900159,sạch tốt tốt hơi khô,0
696,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ",29/04/2023,16:43,5,308500015,dễ_dàng thoải_mái,0
107,"Dùng xong vẫn cảm giác nhờn của srm trên da, ko kích ứng, nhưng chắc sẽ đổi loại khác",30/09/2019,8:34,5,204900159,cảm_giác nhờn đổi,0
218,"tẩy khá sạch, 2 miếng là sạch bông, chỉ có lớp make up hơi tốn thui",2/3/2022,18:50,5,422208807,sạch_miếng sạch hơi tốn,0
2169,"đắp lên rất là mát luôn, tầm 15ph đắp xong, mình cảm thấy da mịn hẳn, sẽ test các loại khác của nhãn hiệu này",25/07/2019,23:37,5,422205163,đắp mát tầm_đắp mịn hẳn test,0
692,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ",30/04/2023,16:22,5,422205162,dễ_dàng thoải_mái,0
155,Loại này dùng khá tốt không bị dị ứng da và sách da,12/2/2023,12:37,4,205100146,tốt không_bị,0
130,"Dùng chắc đc 5 6 chai j r, do tui chỉ dùng kcn th nên thấy tẩy trang sạch mịn kh khô da, da tui mỏng nhạy cảm mà kh bị kích ứng hay j đâu nha giá v hợp lí qtr nên mua luôn nha",21/08/2023,11:30,5,422211446,thứ_tự sạch mịn mỏng không_bị kích_ứng khô hợp_lí,0
2546,"Là đứa thường thay đổi srm suốt vì dùng các loại cũ không thấy thích với hợp da lắm, sau thấy loại này khá ổn áp, không bị mùi nồng, da mụn dùng được nên dùng luôn tới giờ cũng được nửa năm rồi.",12/11/2020,23:52,5,204100054,đổi srm suốt cũ không_thấy thích hợp lắm ổn_áp không_bị,0
396,tới thời điểm hiện tại là ưng được em mặt nạ này nhất đấy. Da tui thuộc da thường.,15/04/2024,21:53,5,422218101,,0
3809,"Sạch sâu mà ko hề khô da, rửa tầm 1 tuần thấy mụn giảm rõ rệt",5/8/2024,23:47,5,422209042,sạch sâu không_hề khô_rửa mụn,0
3330,nếu mình đặt hôm nay thì ghi chú để thứ 2 nhận hàng được không shop,27/11/2020,14:29,5,422212097,không_cửa,0
23,"sp tốt,lành tính nhất trog các loại srm. nhưng hợp với rửa lúc sáng ngủ dậy hoặc k trag điểm thôi.chứ bạn nào trang điểm thì phải rửa 2 3 lần mới sạch hết lớp trag điểm đc",4/9/2023,10:13,5,422207865,tốt lành_tính hợp rửa dậy không_điểm rửa sạch,0
212,"mua chai 400ml về mà k xài được, vì nhờn rít cảm giác như bôi lớp dầu lên mặt vậy, mình k trang điểm, chỉ tây trang với kem chống nắng thôi, da mình da thường nên chắc k hợp loại này.",23/03/2022,16:18,3,205100137,không_xài nhờn_rít cảm_giác bôi không_điểm chống,1
838,cảm nhận của mình trong khi đang sử dụng thì perfect kiểu nó dạng sữa á khi bôi lên mặt thì thấm nhanh k bết cục(da mình da dầu) với mùi nó thơm thơm thích vãi,27/02/2024,21:30,5,422214321,hoàn_hảo á_bôi thấm_chóng không_bết cục thơm_thơm thích,0
2916,"Mìm tìm mua trên shopee thấy giá của nó hợp lí mà xài cũng tốt nữa, da có độ ẩm lên liền mọi người. Xài thích lắm",16/11/2020,15:48,5,204100078,mìm hợp_lí xài tốt độ_ẩm liền xài thích lắm,0
1379,Sản phẩm nồng nặc mùi hương liệu luôn. thoa lên mặt rát dã man. 2 vợ chồng mình xài cả 2 đều rất rất rát luôn. tệ,5/12/2022,17:43,1,422209663,nồng_nặc xài rát,1
2429,Mặt nạ này giá khá rẽ và sử dụng lại khá tốt. Mua về cả nhà đắp xem tv lướt qua những ngày giãn cách xã hội,1/6/2021,14:12,5,422205160,rẽ tốt đắp lướt,0
3232,Mặt nạ cấp ẩm.tinh chất vừa phải.đắp xong da rất minh.da nhạy cảm không bị kích ứng.đã mua lại.,1/7/2023,21:29,5,365000014,vừa_phải đắp nhạy_cảm,0
378,"Loại dành cho da thường đến da dầu nhưng rửa mặt xong sau khoảng 1h thì da mình vẫn lên dầu, nhiều hơn so với lúc trước dùng Cetaphil. Nhưng chai gần 500ml mà sử dụng trong tận 1 năm hơn là rất tiết kiệm và hợp lý luôn, trong khi Cetaphil có dung tích tương đương thì mình dùng trong khoảng 6 tháng.",31/05/2024,22:45,4,422208977,rửa tiết_kiệm hợp_lý trọng_cetaphil,0
247,Hàng thì vẫn luôn tốt rồi . Nhưng mà shop bảo tặng cho 1 chai nhỏ 40mà không thấyddaau mong shop phản hồi,20/09/2021,10:43,4,205100136,tốt bảo_tặng không_thấyddaau,0
999,"Chất lượng trung bình, phù hợp với mức giá mà tôi đã trả.",17/09/2021,14:02,3,422208974,bình,1
2464,chất lượng rất tốt phù hợp với da dầu,26/08/2019,11:03,5,422205164,tốt,0
715,Tốt,20/04/2023,10:06,5,100230057,tốt,0
406,Sữa rửa mặt này dùng rất ok,13/04/2023,17:08,5,422208976,rửa đồng_ý,0
2698,good,23/04/2019,13:02,5,243300007,tốt,0
1553,"sử dụng xong da sạch hong bị rít hay khô đâu ạ, mềm mịn ( da tui da dầu nha) . tui mua đến chai thứ 2 , nên muaa nha mọi người",30/05/2022,21:49,5,211300007,sạch rít khô khô ạ_mềm muaa,0
2439,"Rất ưng ý với mặt nạ này, hiệu quả rõ rệt, chăm xông mặt rồi đắp mặt nạ lên là 1 tuần đã cải thiện rõ rệt",2/11/2020,14:47,5,308500037,ưng_ý rõ_rệt đắp mặt_nạ cải_thiện,0
436,sản phẩm quá tuyệt vời,3/12/2023,12:29,5,204900013,sản_phẩm,0
691,"MÙI HƯƠNG DỄ CHỊU, LÀM MÁT NHANH, GIÁ THÀNH ỔN.",30/04/2023,16:45,5,422206537,ổn,0
813,"Nói thật dỉnh của đỉnh nha 3 bức ảnh đầu là bị đẩy mụn còn 2 bức sau là sau 1,5thang bình phục mọi người dùng phải kien trì. Lúc trc mình ko dùng 1% của paula mà dùng kem dưỡng giảm mụn dou+ của larocho posay hết túp đó mình nâng lên 2% của paula luôn chứ mình ko dùng 1%.tuy đã chuẩn bị tâm lý kĩ rồi mà vẫn hết hồn kkkk thayda sần quá tr mà bình tĩnh con người lại mình có những sp làm dịu da rồi không sao cả và đây là thành quả.",30/06/2020,23:12,5,100240016,dỉnh đẩy trì posay nâng tâm_lý kĩ hết_hồn sần bình_tĩnh_lừa dịu không_cả,0
3828,"rất tốt, lần sau sẽ mua nữa nè",24/11/2020,12:17,5,345800013,tốt,0
760,"Mua nhiều lần ở đây rồi ạ. Sản phẩm ok, giá rẻ ship nhanh nữa chớ ❤️❤️❤️",17/02/2022,22:49,5,100230064,yêu,0
1458,"da mụn dầu, đi bác sĩ da liễu, bác sĩ kê đơn loại này. xài thấy da khỏe hơn, sạch sẽ, không khô bí.",15/06/2022,17:24,5,204900159,bác_sĩ kê xài khỏe bí,0
1483,sữa rửa mặt 400ml mình dùng được hơn 4 tháng . Giờ mùa lần 2 . Bị ghiền bọt mịn .,16/05/2021,23:34,4,422210980,rửa ghiền,0
256,Hơi bị thích luôn! Rửa sạch mà k bị cảm giác khô,27/12/2022,18:59,5,422204281,hơi thích rửa sạch không_bị khô,0
1021,Sử dụng dễ dàng thoải mái thư giãn tột độ,2/5/2023,14:37,5,422202253,dễ_dàng,0
1602,"Xài rất hiệu quả, giảm mụn và vết thâm do mụn nhé.",1/10/2022,16:21,5,422208181,xài hiệu_quả thâm,0
338,ghgffhj tẩy trang trên da mặt cực sạch mà giá lại rẻ. tuy nhiên tẩy cho mắt môi thì ko sạch nên dùng thêm dầu tẩy trang nhé,27/03/2020,13:39,5,422208807,tẩy cực sạch rẻ tẩy không_sạch,0
3555,Cái này xài hơi được lắm mọi người. Mình bị mụn hôm trước dán lên qua hôm sau hút mụn liền à( lên còi mụn luôn á) Dán khoảng 2 lần là hết,7/1/2024,7:53,5,100250033,xài hơi lắm mụn dán hút mụn liền mụn á_dán,0
3812,"rẻ nhưng tốt, không bị rách bông sau khi dùng",13/01/2024,12:03,5,422206149,rẻ tốt rách,0
2736,"Ưng em nay lăm luôn minh sd dc 2 tip rui sai dv lâu , giá cả bình dân đáng để mn thử nha❤️",10/1/2023,14:44,5,422211276,bình_dân thử nhayêu,0
2721,"Sữa dưỡng xài rất ok có mụn viêm xài lên tình trạng mụn bớt viêm hẳn kết hợp nguyên bộ srm, sữa dưỡng vs chấm mụn của hãng này êm cực kì mà tối giản bước cho da mụn nữa mình da dầu nhạy cảm xài ko hề bị kích ứng rất rcm cho mọi người nhe",27/08/2022,10:28,5,248700034,đồng_ý viêm xài bớt viêm hẳn kết_hợp srm sữa_dưỡng chấm tối_giản mụn nhạy_cảm_xài kích_ứng rcm,0
1079,"Mình xài loại màu hồng ấy, bôi sáng ra môi vẫn còn một lớp mỏng mỏng, dưỡng suốt cả đêm nên sáng ra môi không khô.",4/9/2022,18:28,5,225200013,xài bôi mỏng mỏng_dưỡng suốt,0
87,"Mình đã sử dụng chai này là chai thứ 3-4 rồi !! Toner ko có mùi nên rất dễ chịu, sử dụng sau khi rửa mặt sẽ thấy da mặt được dịu lại và cấp ẩm rất tốt luôn !",16/06/2021,22:13,5,318900011,dễ_chịu rửa dịu tốt,0
2757,"Da mình là hhtd, mà giờ mới tìm đc 1 e kcn ưng ý, dc bạn nv tư vấn nên về sài thử, mình đã sài qua các loại kcn 1004, laro vạch xanh, a qua, senka,… mà củng chấm em này ok lắm, kềm dầu, thấm nhanh, thoa lên da mát, nâng tone nhẹ,mà tới tận 80ml, dùng đc cho da treament nữa chứ",7/1/2022,15:47,5,248700035,ưng_ý tư_vấn thử xài laro đồng_ý lắm thấm mát nâng nhẹ,0
3619,"chân tay ai dày sừng, da rắn, tắm xong dùng okla, để tầm 5p là hết rít, cá nhân để so với Eucerin đỏ thì em này một 9 một 10, Eu thì ẩm lâu trên da hơn",24/09/2024,0:29,5,422208983,dày đỏ ẩm_lâu,0
2045,Mùi cồn nồng và bết dính,1/10/2022,8:21,1,422203145,nồng bết dính,1
3362,"Em Vichy này dùng thích lám, mát da và cự kỳ thấm nhanh vào da cho cảm giác khô thoáng nhẹ tênh. Good",22/06/2019,10:13,5,422203976,thích lám_mát cự_kỳ thấm_chóng khô_thoáng nhẹ tốt,0
3922,Ngừa mụn rất hiệu quả Mình dùng xen kẽ với toner khác Khi nào có mụn thì đổi qua dùng e này,9/1/2024,12:56,5,232500001,mụn hiệu_quả đổi,0
1014,"KEM ĐỈNH THẬT ,THOA VÔ LÀ MÁT",3/5/2023,20:06,5,422200236,vô mát,0
3889,"Mình mua tại cửa hàng, dùng được 3 ngày thì mụn nổi lên. Mụn ẩn, mụn viêm hay mụn li ti đều lên cả. Nghe bảo dùng vài hôm sẽ đẩy mụn lên trên bề mặt da rồi khô rụng mới hết. Các mụn nhỏ thì cũng có khô thật, sờ thấy nhám nhám mặt, cũng khô rụng rồi hết, không sao. Mình hy vọng là các review đó đánh giá đúng việc đẩy mụn lên hết và sạch da, nên cũng cố gắng sử dụng thêm thời gian nữa xem sao. Việc hỗ trợ giảm thâm và làm sáng da thì chưa thấy có hiệu quả gì. Serum thơm nhẹ, thấm nhanh, không nhờn rít, không gây bí da nên thấy cũng ổn. Mình sử dụng ngày 2 lần, kết hợp với toner cùng loại.",9/4/2020,14:17,4,345800002,mụn nổi ẩn viêm khô bảo đẩy mụn khô_rụng khô sờ khô_rụng không vọng đẩy mụn sạch cố_gắng thâm thơm nhẹ thấm không_gây bí ổn kết_hợp,0
143,"dùng khá ổn, ko rát da",27/04/2023,19:29,5,422211446,ổn,0
183,ntt dùng rất tốt. k bị nổi mụn ẩn cảm giác sau tẩy trang cũng rất sạch đối với mình vì mình dùng kcn,26/07/2021,20:47,5,205100146,tốt không_bị nổi sạch,0
704,Mình rất thích Hasaki và sản phẩm tẩy trang này,28/04/2023,18:42,5,100230056,thích hasaki,0
564,"Không thể tin được chất lượng lại tệ như vậy, rất hối hận.",13/04/2023,9:15,1,205100137,thiếc chất_lượng tệ hối_hận,1
4378,sp tuyet voi,10/10/2018,9:18,5,100750038,,0
1097,Mình có đặt nhầm 1 chai 236k và ib shop trao đổi trả hàng để mua combo 2 chai 295k thì shop hỗ trợ rất nhiệt tình,24/04/2024,15:38,5,422207562,nhầm đổi kết_hợp nhiệt_tình,0
234,Là sp srm ưng nhất từ trước đến giờ. Chưa xài cerave nhưng em này thật sự đỉnh. Da dầu mụn tham khảo ẻm nha. Không phí tiền đâu,31/05/2022,10:46,5,422200632,srm_ưng xài mụn_khảo không_phí,0
759,"mới đặt hồi 6h sầng tới 9h30 là đã nhận được rồi, chưa dùng nên chưa bít hiệu quả ntn nhưng thấy các bạn review ẻm quá tr nên mua dùng thử.....",18/02/2022,9:27,5,100230056,bít hiệu_quả ẻm thử,0
997,"Sạch, xả bọt nhanh",7/6/2022,0:15,5,422203510,sạch xả,0
1551,"Dùng xong da mềm mịn, sản phẩm như Cetaphi ko cồn, ko chất tạo mùi",8/6/2022,12:30,5,211300007,mềm mịn sản_phẩm không_chất,0
1346,Cấp ẩm và phục hồi tốt. Nhưng trị mụn nhẹ thôi chủ yếu là hỗ trợ. Mấy bạn muốn trị mụn thì dùng dòng khác ok hơn. Sau gần 2 tháng dùng thì da khoẻ hơn,1/8/2020,13:09,5,422211878,phục_hồi tốt trị nhẹ trị đồng_ý khỏe,0
3440,"Sản phẩm kém chất lượng, không đáng tiền.",19/11/2023,16:03,1,422208328,kém không_đáng,1
994,"Dung rất tốt, sản phẩm phù hợp với da dầu nhạy cảm. Dịu nhẹ, da k bị căng sau khi sử dụng",2/1/2022,14:58,5,422204795,tốt sản_phẩm dịu nhẹ căng,0
4225,"Mỏng nhẹ mặt lắm, phù hợp với đứa ra đường chỉ thoa kem chống nắng và đánh miếng son như tui. Nâng tone nhẹ, ai thích tone tự nhiên thì tham khảo em này. Thấy nói thành phần dưỡng da serum nên cũng hi vọng càng dùng càng đẹp. Phù hợp cho mọi loại da nha",30/07/2023,12:44,5,422212361,mỏng nhẹ lắm chống đánh_miếng nâng nhẹ thích thành_phần dưỡng_serum chào_vọng đẹp,0
1548,"Srm phải gọi là nhứt nách, sạch nhưng ko gây khô da, sài dễ chịu hơn nghệ cúc. Tuy ko nhẹ dịu như simple nhưng cảm tương tự và kém hơn chỉ 1 chút xíu. Da tui khô nhưng vẫn ko khó chịu và ko kích ứng",16/09/2022,11:58,5,422207401,gọi_là nách sạch không_gây dễ_chịu kém khô không_khó_chịu,0
1328,"KCN dùng tốt, ko bết rít, nâng tông nhẹ",24/01/2022,12:38,5,422211276,tốt rít nâng nhẹ,0
2062,Tuyệt vời ông mặt trời ạ ~~,20/01/2022,9:32,5,422207413,mặt_trời,0
984,"Kiềm dầu tốt, nâng tông nhẹ, nma cay mắt lắm luôn í",12/2/2022,9:42,5,422217292,tốt nâng nhẹ nma lắm,0
1013,Kem này quá đỉnh luôn thoa vào đã thấy mát dịu liền,3/5/2023,20:06,5,422200236,mát_dịu liền,0
327,Dịu nhẹ. Lưu ý loại này không cồn nhưng giá quá oke. Mình chỉ dùng kcn nên xài loại này thấy rất hợp.,1/9/2020,15:22,5,422208807,dịu nhẹ không_cồn xài hợp,0
1578,"Dịu nhẹ, lành tính, đủ làm sạch da",24/02/2021,11:26,5,422214146,dịu nhẹ lành_tính sạch,0
154,"Tẩy trang nhẹ nhàng không kích ứng, mùi thơm. Mình da khô xài rất ổn nha.",20/02/2023,20:51,5,205100137,không_kích_ứng thơm khô_xài ổn,0
3022,xài ok lắm nha giao đúng giờ shipper nhiệt tình tốt,23/02/2022,12:02,5,343700002,xài đồng_ý lắm nhiệt_tình tốt,0
646,Sản phẩm đáng để sử dụng,3/1/2024,12:14,5,100230059,,0
2357,"Sử dụng dễ dàng, rất thoải mái, thư giãn tột độ",30/04/2023,17:56,5,422205164,dễ_dàng thoải_mái,0
168,Da dầu mụn Tẩy trang 8/10(meakup nhẹ nhàng9/10) Không nổi mụn 9/10 Ko kích ứng 10/10 Ko hương liệu hay cồn 10/10 Ko nhờn dính 9.5/10 Mượt và ko khô da Tổng thể 9.6/10,19/11/2022,20:56,5,422208807,mụn_tẩy nhẹ mụn không_hương_liệu khô không_nhờn,0
1191,"Xin hãng đừng bao giờ ngừng sản xuất em này vì quá là đỉnh luôn, mỏng nhẹ kiềm dầu mà còn dưỡng ẩm nữa, bôi lên nhẹ tênh như ko luôn",28/05/2022,0:21,5,249500013,đừng ngừng mỏng nhẹ mà_còn bôi,0
2156,"e này rẻ mk tẩy trang khá tốt, make up thì k bt như nào, nhưng kcn thì tẩy đc, dịu nhẹ k khô da",9/11/2022,16:46,5,222600052,rẻ tẩy tốt tẩy dịu nhẹ,0
3697,"Dòng sữa rửa mặt mình ưng nhất trong các loại mình dùng, sẽ chọn em này dùng luôn",4/5/2023,19:49,5,201600182,rửa ưng nhất_trọng,0
1837,"Đã mua và sd 1 miếng, thấy rất tốt, da mát lạnh khi mới đắp và cảm thấy bớt dầu sau khi đắp xong, da ẩm mượt, mình k sd thêm các bước chăm sóc mà để mặt vậy ngủ đến sáng thấy các nốt mụn sưng giảm đỏ hơn trc, sẽ mua them vao lan sau!",9/5/2020,19:20,5,422205160,miếng tốt mát_lạnh đắp bớt dầu_đắp không_thêm chăm_sóc mụn đỏ,0
2353,"Sử dụng dễ dàng , rất thoải mái, thư giãn tột độ",1/5/2023,9:14,5,308500013,dễ_dàng thoải_mái,0
2319,"MÙI HƯƠNG DỄ CHỊU, LÀM MÁT NHANH, GIÁ THÀNH ỔN.",4/5/2023,16:34,5,204100019,ổn,0
127,anbcded,24/10/2023,11:49,3,422211446,,1
922,Sản phẩm dùng tốt,11/4/2023,18:57,5,422204795,tốt,0
1024,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",2/5/2023,17:16,5,308500004,dễ_dàng thoải_mái,0
1589,"Cấp ẩm tốt, giá rẻ, nói chung ok",12/3/2023,21:31,5,422209636,tốt rẻ,0
855,"nên mua sài nha mua nhìu loại kem mấy loại kia da khô sài nó ko thấm loại này nó thấm nhanh , giảm đc nếp nhăn quầng thâm mắt hàng chính hãng giao nhanh lắm , mua hũ to sài lời hơn á",25/09/2024,10:46,5,422219150,xài nhìu khô không_thấm_loại thấm_chóng nhăn thâm_mắt chóng lắm xài,0
687,Mình rất thích hasaki và sp tẩy trang này.,30/04/2023,18:38,5,200400004,thích hasaki,0
1135,"Chất lượng kém, không đáp ứng được mong đợi của tôi.",1/8/2024,5:48,2,207300009,kém đợi,1
684,"SỬ DỤNG DỄ DÀNG, RẤT THOẢI MÁI, THƯ GIÃN TỘT ĐỘ.",1/5/2023,10:02,5,308500037,dễ_dàng thoải_mái,0
2858,bthuong,16/07/2019,14:45,4,318900002,,0
165,"Loại refreshing này mình dùng cũng 3-4 chai gì đó, công dụng chủ yếu thì là để tẩy trang thôi. Phù hợp với da dầu mụn, da nhạy cảm vẫn ok luôn. Mình không makeup, chỉ bôi mỗi kcn nên thấy khả năng làm sạch da của em nó ổn nha, tẩy được kcn và bụi bẩn rất ok. Sau khi tẩy trang xong cảm thấy da khá mềm, không bị khô và không hề nhờn da. Mình dùng ko thấy bị kích ứng và ko bị nổi mụn luôn. Nói chung là rất nên mua nha.",28/11/2022,10:09,5,422206648,công_dụng tẩy mụn đồng_ý không_makeup bôi sạch ổn_tẩy kcn bẩn mềm không_bị khô kích_ứng không_bị nổi mụn,0
3824,"sp lên tone ổn, nhưng phần tiêu đề sp ghi là 100 calming tức là loại ko lên tone nhưng hasaki giao nhầm loại tone-up ấy. Sp dễ ra ghét nên mn cân nhắc nhé, chống nước khá tốt",11/5/2022,22:01,3,345800013,ổn tức_là nhầm ghét cân_nhắc chống tốt,1
788,"Chuyển sang loại này mê luôn, da dầu mụn mọi người nên thử.Cảm giác da sạch hơn loại màu xanh nhiều nhưng rửa xong ko có lớp ẩm ẩm giống xanh đâu nên cấp ẩm thêm với toner.Hạt srub nhẹ lắm ko sợ rát da.Phê,",21/09/2023,21:16,5,422206248,mê dầu_mụn thử cảm_giác sạch rửa ẩm nhẹ lắm rát phê,0
1486,Gel hơi có mùi khó chịu một chút nhưng sài rất tốt,7/2/2021,19:16,5,100190059,hơi một_chút tốt,0
3040,"sp dưỡng ẩm rất tốt, nên dùng",5/12/2019,13:26,5,343700002,tốt,0
2327,"Giá thành rẻ , đắp thư giãn rất ok ạ, công dụng ko ngờ tới luôn ạ",3/5/2023,17:55,5,422205163,rẻ đắp đồng_ý không_ngờ,0
161,"Tẩy trang sạch, mình dùng ko thấy cay mắt, hoặc có cay nhưng chỉ thoáng qua. Có bọt để tẩy trang ko rát, tiết kiệm nước tẩy trang hơn. Tổng quan cho 10/10, chắc chắn sẽ mua lại",20/01/2023,10:26,5,422206648,sạch tẩy tiết_kiệm tẩy,0
1536,"Dùng khá ổn, không có điểm gì quá đặc biệt để khen hay chê.",12/10/2020,4:11,3,422202253,ổn ngợi khô chê,1
